9.393796577,61.421818,0.07,-0.008969877
9.392674921,61.414484,0.09,-0.087315982
9.391613677,61.407545,0.095,-0.263712862
9.390037793,61.397241,0.1,-0.385559431
9.387758083,61.382335,0.105,-0.595575381
9.384082039,61.358299,0.11,-0.868342237
9.37907466,61.325558,0.115,-1.242737114
9.371654668,61.277042,0.12,-1.46275528
9.364447108,61.229915,0.125,-1.434629783
9.35730837,61.183238,0.13,-2.589977504
9.338547333,61.060568,0.135,-3.545280904
9.321855561,60.951428,0.14,-3.421461422
9.304332718,60.836854,0.145,-4.700261572
9.274852945,60.644099,0.15,-10.41134343
9.200219284,60.156103,0.155,-12.43301459
9.150522799,59.83116,0.16,-11.60200479
9.084199236,59.3975,0.165,-15.01953567
9.000327443,58.8491,0.17,-17.90228447
8.905176392,58.22695,0.175,-15.99589879
8.840368455,57.8032,0.18,-22.46216325
8.568243943,56.0239,0.19,-30.21209643
8.387187008,54.84005,0.195,-34.76075969
8.220636346,53.75105,0.2,-34.29658957
8.044221113,52.59755,0.205,-35.28304666
